InventoryLogID,ProductID,QuantityChange,ChangeDate,Reason
2cf2e912-01cd-445e-b899-4c1587394501,1089,-4,2023-06-18,Sale
101e91bb-a48f-409d-bacb-0a9e46dfc683,4438,-5,2022-02-13,Sale
84646a08-3ce7-4512-8867-e2ce131e38ff,7022,-3,2023-08-05,Sale
4cbe27f4-36cc-4de6-b831-705472c8ab78,7795,-4,2022-11-21,Sale
712b49e0-954d-4542-867d-a7e7547eb8f9,4307,-3,2023-02-19,Sale
1e941e3e-ae37-4c1b-acaa-b4da3f590158,4592,-4,2022-06-05,Sale
72b86f4c-e367-45ca-b98b-db1252ca1474,2323,-1,2022-02-03,Sale
80eb3803-828d-4314-9fa4-a33f0a3998f6,8241,-4,2023-09-03,Sale
31de60c3-0773-4bf5-81cf-c30d716c4567,6766,-2,2022-02-22,Sale
851f56e9-4c5a-4c31-880a-edff06047f6b,5704,-1,2023-01-16,Sale
df6c3d29-f13d-45c7-870b-1ac8716362e9,4766,-4,2023-08-02,Sale
dd905c22-9092-4111-9547-f2d6bbf92acd,876,-5,2022-01-18,Sale
7744b43f-0f2b-4f61-84bb-6fd6792ae695,5963,-2,2022-08-10,Sale
e82cb99e-a36e-4182-bc39-36cfc906e98f,6766,-2,2022-10-05,Sale
71bebdec-ddfd-4d0e-b9f1-a7a079dca0f1,2508,-2,2022-03-10,Sale
24a367c5-0cd8-44df-99c7-0bed6db62aa2,6970,-2,2022-08-13,Sale
9cabe902-93e7-4e3b-b759-957b33f61662,2489,-1,2023-03-25,Sale
9f3d8276-96b1-4b46-aace-e79961ccc3fb,6070,-4,2023-04-16,Sale
98f1e621-ef1b-47b6-9d9d-e53d5bef0ec6,5704,-3,2021-12-21,Sale
0b7e7bb6-f08c-4246-a028-5fba5e72b178,6963,-5,2023-10-21,Sale
cef85816-85ab-43ae-8f03-83a35dfe33e1,8769,-4,2022-08-09,Sale
0c69c9f1-78e4-4b56-9275-8b678c158e21,1887,-1,2023-09-23,Sale
5fd65779-e63f-48fb-a4a0-95c2752ccab3,9891,-3,2023-07-21,Sale
e426eba5-1c7c-4534-8535-dea1d64fb08b,7569,-4,2023-01-27,Sale
beceb8f2-6685-41ca-a19b-4dce7c9f30d5,8188,-5,2023-05-24,Sale
cd33f3e2-af4d-43f6-88bc-f334845d6297,1738,-1,2023-11-11,Sale
14d51f0a-4a22-4cb2-ae17-185e07c6f7b7,5337,-4,2023-10-16,Sale
81b79f87-195e-4814-8949-93d744987ad3,4335,-4,2022-12-03,Sale
2fd92a5b-8860-4f83-a221-77db48c2694c,4248,-3,2023-08-05,Sale
c0196750-90c4-43e8-82b6-1abaca303cf5,9450,-3,2022-07-06,Sale
57351481-6f19-4bbd-b5ad-7179ce9e677e,5549,-5,2023-04-30,Sale
2bb3759d-4868-448b-af4c-21a69dd69b06,9450,-5,2023-11-04,Sale
8b7a83e5-400c-49df-a141-33ae88a2cbec,1043,-3,2023-05-06,Sale
