OrderID,CustomerID,OrderDate,TotalAmount,Status
922132,793413,2022-11-02,1745.58,Cancelled
615279,377850,2022-11-05,3300.72,Returned
762420,842422,2023-06-27,2788.54,Shipped
561016,317117,2023-06-14,3586.78,Shipped
653919,277421,2022-09-30,1643.35,Delivered
979578,230591,2023-02-04,3031.16,Processing
671829,539640,2023-06-28,2241.35,Delivered
362065,435142,2022-04-18,1890.07,Delivered
899412,117732,2022-10-09,3248.01,Processing
432755,669640,2023-08-21,3906.67,Returned
953264,509335,2022-01-09,296.66,Processing
348387,802174,2023-07-25,2920.33,Shipped
381851,205081,2023-01-27,4198.1,Cancelled
969578,595840,2023-08-25,2620.23,Returned
50961,724526,2022-08-07,4205.73,Shipped
732364,864152,2022-06-30,3152.12,Returned
448919,775481,2023-03-17,4568.99,Delivered
514853,340943,2023-04-22,1494.34,Shipped
157916,557431,2023-07-06,1771.41,Returned
980181,794883,2022-03-23,4690.44,Delivered
886927,165972,2022-12-22,2770.76,Processing
243531,488116,2023-02-08,3828.08,Processing
560914,945504,2023-07-09,2943.47,Cancelled
600316,957579,2022-02-19,4942.13,Delivered
558718,809713,2022-01-28,1985.49,Delivered
861601,987897,2022-07-07,4433.66,Cancelled
833069,550141,2022-12-28,2012.51,Returned
706325,558286,2022-02-02,4626.16,Processing
857424,544177,2023-04-08,4006.01,Processing
164754,418737,2023-01-12,2515.96,Returned
545683,486546,2022-02-17,4461.79,Cancelled
642314,827037,2023-08-12,2278.0,Returned
539243,859767,2022-02-07,3106.61,Cancelled
749492,475921,2023-04-29,950.8,Cancelled
796954,315040,2022-06-16,167.89,Returned
903831,307465,2022-07-16,2375.39,Shipped
764528,812869,2023-08-24,437.7,Cancelled
523101,150383,2023-05-10,4637.2,Returned
373670,850318,2022-12-09,3404.88,Processing
714150,368604,2023-09-22,1802.14,Shipped
434578,235556,2023-08-12,4069.96,Delivered
791432,768137,2022-08-01,167.07,Cancelled
284012,403970,2023-10-25,4392.81,Returned
515456,584469,2021-11-16,2384.18,Cancelled
905219,113921,2023-06-23,2315.27,Delivered
458053,411365,2022-11-30,4906.78,Cancelled
607849,827017,2023-10-11,1808.59,Delivered
702313,574398,2022-10-29,4375.79,Shipped
499520,476421,2022-02-23,4421.21,Processing
391347,757615,2022-07-10,2132.44,Cancelled
232128,857056,2022-04-15,2904.17,Cancelled
856438,813392,2022-12-12,3076.26,Shipped
977003,962525,2023-09-11,1673.89,Shipped
457972,207247,2023-02-19,2673.23,Processing
523647,167259,2023-06-30,1703.08,Delivered
696464,809971,2023-06-03,4750.01,Returned
358883,17082,2023-04-02,1649.81,Cancelled
828648,88505,2023-08-24,2342.02,Cancelled
657507,791660,2023-08-07,70.7,Shipped
235173,212388,2022-12-02,285.76,Shipped
162063,66539,2022-02-20,1162.4,Cancelled
716142,349384,2023-10-11,4410.32,Shipped
320052,827443,2022-05-24,620.2,Shipped
997319,39490,2023-06-12,824.29,Shipped
465146,240291,2022-10-18,1956.14,Delivered
346919,875339,2022-09-10,3760.69,Cancelled
905338,234350,2022-05-13,2174.55,Shipped
489789,159251,2023-01-02,714.08,Cancelled
245479,62062,2022-07-18,4213.78,Shipped
323473,441395,2023-08-19,3600.21,Shipped
13247,717527,2023-06-24,1478.46,Delivered
820681,14434,2023-09-01,4636.89,Cancelled
179652,260194,2022-08-06,3701.61,Shipped
380529,518323,2023-04-23,3363.34,Returned
915371,305257,2022-05-22,3772.27,Processing
125449,864622,2022-02-19,4858.97,Cancelled
292763,972155,2022-07-13,4874.1,Delivered
360198,371731,2022-05-01,1068.22,Processing
745897,501861,2023-10-30,600.59,Processing
575397,827037,2022-10-29,4119.28,Processing
164842,326402,2022-04-28,3921.22,Processing
718171,241108,2022-07-01,2588.81,Delivered
881214,560238,2023-06-14,880.91,Processing
172913,802953,2023-06-16,2778.73,Processing
724090,954161,2023-02-03,2419.91,Returned
609638,486853,2023-07-21,2162.41,Delivered
417609,876681,2022-07-01,4041.72,Delivered
681482,580562,2023-05-08,759.35,Returned
148833,401260,2023-02-19,2794.23,Processing
257135,977445,2023-07-18,566.15,Shipped
884987,827436,2023-01-21,165.36,Delivered
457324,627503,2023-08-27,2991.02,Shipped
934898,427632,2023-06-28,4266.31,Cancelled
649535,144590,2022-09-18,1062.25,Shipped
104834,528273,2023-06-06,1094.77,Shipped
641897,782188,2022-01-08,3729.19,Delivered
546331,893458,2022-01-24,368.95,Processing
858685,330565,2022-03-19,3638.88,Shipped
630966,395568,2022-04-02,3454.58,Returned
697405,866294,2023-01-19,231.71,Processing
304907,651230,2022-01-02,2690.37,Processing
592267,953762,2022-01-30,928.07,Processing
244131,963830,2022-11-04,4639.03,Shipped
977155,803473,2022-09-02,1915.22,Shipped
714634,654711,2023-04-19,1885.51,Processing
100095,524161,2022-10-12,2238.66,Cancelled
997893,211057,2023-07-10,1659.01,Shipped
262254,673588,2022-03-15,3391.38,Returned
842484,325537,2023-03-10,3944.33,Cancelled
381215,99152,2022-05-29,2334.16,Delivered
484832,235192,2023-05-10,1527.38,Delivered
157683,21043,2023-11-01,144.09,Cancelled
519314,118162,2023-03-08,546.24,Delivered
116011,782188,2022-12-27,431.21,Delivered
244722,921080,2022-02-20,2325.3,Returned
248333,471906,2022-04-30,1555.91,Processing
527799,182417,2022-10-19,794.23,Processing
826677,697653,2022-04-21,3067.92,Processing
483582,102578,2023-04-15,1212.25,Shipped
497970,656508,2022-03-12,2456.74,Processing
568072,144677,2022-10-01,4297.9,Cancelled
187041,423910,2023-11-16,3662.4,Shipped
655189,733198,2022-02-03,279.55,Processing
175778,512156,2023-11-08,2399.78,Processing
647867,421159,2022-10-19,2449.16,Processing
527708,453322,2022-09-14,3399.82,Cancelled
623443,766297,2023-09-08,2363.36,Shipped
866763,411106,2022-10-02,4192.75,Returned
860727,584365,2022-06-10,3463.17,Returned
460928,27157,2023-05-04,4293.1,Cancelled
218152,993208,2022-02-12,4486.06,Returned
767230,548213,2023-10-24,3852.75,Shipped
314268,694570,2022-12-29,3372.23,Returned
328985,582711,2023-09-02,3287.01,Processing
347082,319703,2023-05-01,2374.87,Processing
310564,896374,2022-04-10,4735.71,Processing
26910,3187,2023-07-25,1796.9,Processing
437279,810763,2022-12-01,3043.03,Delivered
953934,694570,2023-11-15,2008.26,Returned
170543,710696,2022-07-18,4420.73,Shipped
186454,21018,2022-07-11,3344.64,Returned
459540,714565,2023-08-16,2447.64,Delivered
912904,748019,2023-08-02,2576.39,Processing
236375,4048,2023-09-16,2363.32,Processing
442117,323535,2023-03-09,1170.68,Returned
406596,182646,2022-03-29,802.57,Delivered
473195,373623,2022-11-24,1488.21,Returned
113887,831354,2022-04-07,3460.34,Processing
881755,493419,2022-10-17,1348.42,Processing
