OrderID,CustomerID,OrderDate,TotalAmount,Status,OrderYearMonth
922132,793413,2023-02-28,1745.58,Cancelled,2023-12
615279,377850,2023-07-18,3300.72,Returned,2023-12
762420,842422,2023-02-03,2788.54,Shipped,2022-11
561016,317117,2021-12-07,3586.78,Shipped,2022-10
653919,277421,2023-11-05,1643.35,Delivered,2023-03
979578,230591,2023-10-04,3031.16,Processing,2022-01
671829,539640,2023-12-22,2241.35,Delivered,2022-12
362065,435142,2022-09-29,1890.07,Delivered,2023-11
899412,117732,2022-07-29,3248.01,Processing,2022-07
432755,669640,2021-11-20,3906.67,Returned,2022-03
953264,509335,2023-02-03,296.66,Processing,2023-09
348387,802174,2023-08-07,2920.33,Shipped,2022-11
381851,205081,2022-02-17,4198.1,Cancelled,2022-02
969578,595840,2023-03-12,2620.23,Returned,2021-11
50961,724526,2023-11-16,4205.73,Shipped,2023-08
732364,864152,2022-07-29,3152.12,Returned,2022-04
448919,775481,2022-06-24,4568.99,Delivered,2023-10
514853,340943,2022-06-12,1494.34,Shipped,2022-03
157916,557431,2023-09-05,1771.41,Returned,2022-01
980181,794883,2022-11-23,4690.44,Delivered,2022-05
886927,165972,2022-12-25,2770.76,Processing,2022-10
243531,488116,2022-12-31,3828.08,Processing,2022-09
560914,945504,2023-10-10,2943.47,Cancelled,2023-07
600316,957579,2023-06-13,4942.13,Delivered,2022-02
558718,809713,2022-05-02,1985.49,Delivered,2022-09
861601,987897,2023-11-06,4433.66,Cancelled,2023-10
833069,550141,2022-08-03,2012.51,Returned,2021-12
706325,558286,2021-12-01,4626.16,Processing,2022-09
857424,544177,2023-06-28,4006.01,Processing,2022-04
164754,418737,2023-08-31,2515.96,Returned,2021-11
545683,486546,2023-11-26,4461.79,Cancelled,2022-09
642314,827037,2022-05-08,2278.0,Returned,2022-07
539243,859767,2023-09-16,3106.61,Cancelled,2022-07
749492,475921,2022-06-18,950.8,Cancelled,2023-09
796954,315040,2022-12-17,167.89,Returned,2022-10
903831,307465,2022-10-11,2375.39,Shipped,2023-11
764528,812869,2022-01-02,437.7,Cancelled,2022-03
523101,150383,2023-07-03,4637.2,Returned,2022-12
373670,850318,2022-05-28,3404.88,Processing,2023-01
714150,368604,2023-08-31,1802.14,Shipped,2023-07
434578,235556,2022-07-21,4069.96,Delivered,2023-10
791432,768137,2023-11-02,167.07,Cancelled,2023-01
284012,403970,2022-06-26,4392.81,Returned,2022-02
515456,584469,2023-02-05,2384.18,Cancelled,2023-05
905219,113921,2022-11-26,2315.27,Delivered,2022-05
458053,411365,2022-04-21,4906.78,Cancelled,2023-11
607849,827017,2021-11-25,1808.59,Delivered,2022-09
702313,574398,2023-12-19,4375.79,Shipped,2022-08
499520,476421,2022-07-22,4421.21,Processing,2023-10
391347,757615,2023-07-03,2132.44,Cancelled,2022-07
232128,857056,2023-08-10,2904.17,Cancelled,2022-12
856438,813392,2022-07-30,3076.26,Shipped,2022-04
977003,962525,2022-10-13,1673.89,Shipped,2022-10
457972,207247,2022-05-31,2673.23,Processing,2023-12
523647,167259,2022-04-26,1703.08,Delivered,2022-05
696464,809971,2023-09-19,4750.01,Returned,2021-12
358883,17082,2022-11-05,1649.81,Cancelled,2023-06
828648,88505,2022-06-29,2342.02,Cancelled,2023-09
657507,791660,2022-01-16,70.7,Shipped,2023-12
235173,212388,2022-01-15,285.76,Shipped,2023-11
162063,66539,2021-11-28,1162.4,Cancelled,2022-03
716142,349384,2022-10-02,4410.32,Shipped,2022-07
320052,827443,2023-02-18,620.2,Shipped,2022-07
997319,39490,2022-02-03,824.29,Shipped,2023-01
465146,240291,2022-10-04,1956.14,Delivered,2022-05
346919,875339,2021-12-13,3760.69,Cancelled,2023-08
905338,234350,2022-11-26,2174.55,Shipped,2022-09
489789,159251,2022-05-22,714.08,Cancelled,2022-06
245479,62062,2022-05-03,4213.78,Shipped,2023-09
323473,441395,2023-08-25,3600.21,Shipped,2022-08
13247,717527,2022-07-24,1478.46,Delivered,2021-11
820681,14434,2022-01-18,4636.89,Cancelled,2023-09
179652,260194,2023-12-25,3701.61,Shipped,2023-06
380529,518323,2023-05-08,3363.34,Returned,2022-04
915371,305257,2022-12-20,3772.27,Processing,2022-12
125449,864622,2022-02-04,4858.97,Cancelled,2023-09
292763,972155,2022-06-15,4874.1,Delivered,2023-01
360198,371731,2022-01-16,1068.22,Processing,2023-04
745897,501861,2023-01-14,600.59,Processing,2023-05
575397,827037,2022-01-08,4119.28,Processing,2023-04
164842,326402,2023-02-13,3921.22,Processing,2023-11
718171,241108,2022-11-29,2588.81,Delivered,2022-12
881214,560238,2022-03-19,880.91,Processing,2023-08
172913,802953,2023-10-01,2778.73,Processing,2023-10
724090,954161,2023-10-21,2419.91,Returned,2022-06
609638,486853,2023-08-05,2162.41,Delivered,2022-11
417609,876681,2021-11-28,4041.72,Delivered,2023-07
681482,580562,2022-05-19,759.35,Returned,2022-02
148833,401260,2022-03-07,2794.23,Processing,2023-02
257135,977445,2023-06-01,566.15,Shipped,2021-12
884987,827436,2023-06-24,165.36,Delivered,2023-09
457324,627503,2022-11-30,2991.02,Shipped,2022-09
934898,427632,2022-01-22,4266.31,Cancelled,2021-12
649535,144590,2022-07-29,1062.25,Shipped,2021-12
104834,528273,2022-08-22,1094.77,Shipped,2023-06
641897,782188,2023-04-10,3729.19,Delivered,2023-08
546331,893458,2022-03-15,368.95,Processing,2022-10
858685,330565,2023-11-18,3638.88,Shipped,2023-12
630966,395568,2023-04-26,3454.58,Returned,2023-04
697405,866294,2023-01-26,231.71,Processing,2022-12
