PaymentID,OrderID,Amount,PaymentDate,PaymentMethod
48700,940840,2298.07,2023-10-08,PayPal
59778,728701,4001.44,2023-02-07,Credit Card
52026,200669,2549.55,2023-06-19,PayPal
54924,275572,3671.51,2023-03-17,Debit Card
21390,680255,2427.21,2023-10-26,Gift Card
64352,797711,4671.0,2022-10-02,Debit Card
967,904799,1535.2,2023-02-24,PayPal
98091,878420,658.08,2022-08-17,Credit Card
33619,286344,2390.63,2023-11-03,Gift Card
24568,422588,199.72,2023-07-27,PayPal
56597,593375,373.24,2023-10-24,Bank Transfer
18822,597120,3816.48,2023-11-13,Credit Card
7028,635104,4677.91,2023-03-09,Credit Card
15738,974119,1596.35,2023-09-10,Debit Card
15569,888201,677.06,2023-11-13,Debit Card
84881,174498,3992.83,2023-09-29,Debit Card
5269,997658,2206.51,2022-10-15,Credit Card
93581,875005,1799.8,2022-07-22,PayPal
71736,409129,2733.64,2023-09-23,Bank Transfer
98372,844758,2064.29,2023-07-28,Gift Card
94869,917152,373.01,2023-05-29,Gift Card
45002,499206,2607.31,2022-08-29,Credit Card
79832,955025,1093.15,2022-11-03,Gift Card
73907,201019,4226.94,2022-09-19,Debit Card
58873,992387,3222.23,2023-08-15,Bank Transfer
79311,583171,2843.63,2022-05-13,Credit Card
80154,384801,4082.58,2023-05-11,Bank Transfer
37373,157991,3335.76,2023-07-04,Bank Transfer
77884,332027,56.46,2023-05-24,Gift Card
5451,929413,2337.78,2023-08-12,Gift Card
94824,605621,1623.53,2023-10-14,Debit Card
30211,57822,3631.68,2023-07-20,Bank Transfer
9072,554167,451.7,2023-07-17,Credit Card
98113,437927,4352.19,2022-08-15,Credit Card
3783,664294,3722.84,2023-03-30,PayPal
34608,255554,2344.2,2022-11-18,PayPal
59635,237041,1684.74,2023-10-26,Bank Transfer
6454,27421,1637.3,2023-10-03,Debit Card
90640,760398,3947.97,2023-10-24,PayPal
7309,541389,3931.55,2023-02-17,PayPal
68542,765885,175.61,2023-04-23,Debit Card
64065,747057,4444.18,2023-05-20,Debit Card
47573,300027,2205.09,2023-07-22,Credit Card
