ShipmentID,OrderID,ShippedDate,EstimatedDelivery,Carrier,TrackingNumber
88942,894324,2023-06-29,2023-07-07,UPS,CRw758490960
69419,748520,2022-11-23,2022-12-04,USPS,tNH819055305
47146,757095,2023-07-29,2023-08-04,USPS,lhY270174242
29856,524445,2023-10-17,2023-10-23,FedEx,MPw148874443
11329,132437,2023-08-02,2023-08-10,USPS,yjm151235612
15213,959470,2023-08-27,2023-09-01,USPS,oTz833548659
72496,120045,2023-09-29,2023-10-11,Royal Mail,QCn202562762
25884,748329,2023-05-18,2023-05-19,Royal Mail,jDw995280037
74824,389376,2023-10-23,2023-11-05,FedEx,oMC859513710
6516,33241,2022-09-17,2022-09-20,USPS,ocU358752240
45379,412186,2023-04-04,2023-04-11,Royal Mail,sbC557599620
57880,706610,2023-07-02,2023-07-05,Royal Mail,HXq496797280
8049,923971,2022-12-28,2023-01-11,UPS,irL161137070
92353,593298,2023-10-02,2023-10-16,USPS,kFW072360807
28854,704171,2023-03-14,2023-03-21,USPS,efn647449696
76716,997319,2023-06-21,2023-07-03,DHL,KKa590726967
87416,651231,2022-10-02,2022-10-08,USPS,oJL543637344
7736,529191,2023-11-08,2023-11-09,UPS,qHX773107435
12141,160775,2023-08-07,2023-08-21,FedEx,UDc039392174
64070,544284,2023-07-07,2023-07-15,USPS,BdP739957008
1080,545393,2023-05-20,2023-05-21,DHL,VBM607940128
81739,292060,2023-05-28,2023-05-30,Royal Mail,Aqk915635680
2999,476412,2023-05-13,2023-05-21,DHL,itE300064890
51436,988529,2023-10-21,2023-11-01,Royal Mail,pZA149663603
84869,522995,2023-03-22,2023-03-23,DHL,MIM448399278
49673,130023,2023-03-14,2023-03-28,UPS,Hwn518875293
59405,202985,2023-10-30,2023-11-03,DHL,xss226505109
74469,705542,2022-04-10,2022-04-12,UPS,ABa140011764
95776,628316,2023-08-13,2023-08-18,FedEx,oRZ141592563
5386,881749,2023-08-28,2023-09-06,DHL,uJF914182820
16763,656635,2022-09-17,2022-09-25,DHL,bxd423424252
85498,685650,2023-06-06,2023-06-12,USPS,tRx214800685
1045,956403,2023-10-26,2023-10-28,UPS,Khh985952303
94123,803429,2023-01-29,2023-02-12,Royal Mail,CWY912646899
29755,277419,2023-07-31,2023-08-02,USPS,oNL012733117
57493,911064,2023-11-15,2023-11-27,UPS,Ndn581651613
28862,798411,2022-10-13,2022-10-17,FedEx,Byk164197707
49030,722957,2022-06-21,2022-06-25,USPS,VGG788267424
