,OrderDetailID,OrderID,ProductID,Quantity,Price
0,56688,975556,8854,2,365.99
1,473032,863456,2579,3,1152.56
2,970682,858475,1089,1,1373.0
3,542082,452497,5324,1,1495.85
4,505912,652497,4438,2,1256.48
5,271056,828318,8875,1,398.36
6,260870,798853,7761,1,310.8
7,361521,134552,3892,2,1324.62
8,95257,13475,7022,2,846.92
9,830950,462037,8456,2,537.95
10,477975,104128,3892,2,1324.62
11,693004,284276,7795,1,856.06
12,676108,168350,4969,1,889.71
13,559161,646036,5531,2,1023.65
14,681614,161528,5726,1,636.42
15,312047,827880,4455,3,771.96
16,233569,131081,8456,1,537.95
17,468637,257584,4307,2,1006.95
18,656931,803071,4592,4,1198.67
19,32243,261113,2323,3,163.41
20,818459,32154,8241,2,1102.11
21,271661,426340,6686,2,661.35
22,752043,423657,3952,2,790.0
23,1607,342471,6766,2,1327.85
24,426705,920228,5704,1,590.77
25,403038,614819,4766,3,143.42
26,407097,568983,2489,3,1246.39
27,867334,481467,1073,2,1184.89
28,425386,380227,876,3,430.56
29,361497,425010,7550,3,211.52
30,170054,191048,6766,1,1327.85
31,80722,663204,7635,1,678.72
32,25684,14698,617,1,884.1
33,52726,349,8559,2,356.76
34,261160,469797,5963,1,1175.81
35,196671,253909,1887,1,801.03
36,314343,442363,2508,1,579.92
37,13245,280139,4292,2,182.94
38,342769,342456,6290,2,210.04
39,801728,70833,6766,3,1327.85
40,883406,43711,2508,1,579.92
41,317655,87290,6970,1,1322.29
42,620490,160263,4335,2,420.54
43,888493,956594,2489,2,1246.39
44,562774,375270,6520,1,1359.76
45,831669,813698,6070,2,1154.63
46,636770,713596,3892,3,1324.62
47,976531,953973,5704,1,590.77
48,200860,403058,6963,2,703.49
49,30878,292018,8769,5,192.04
50,860733,310102,1887,1,801.03
51,602716,592780,4455,2,771.96
52,40113,702822,9891,2,1002.8
53,606388,876232,8044,1,521.48
54,291347,272325,2059,4,1455.41
55,892884,142313,1871,1,966.19
56,475877,605917,7569,1,285.31
57,40019,510023,8241,2,1102.11
58,747113,504260,3090,2,130.39
59,178823,326828,1958,2,411.77
60,954581,178129,7453,3,1298.95
61,981115,550080,1219,2,967.23
62,323011,182627,3687,3,969.4
63,744450,859044,8188,1,267.66
64,298578,111,1738,2,483.88
65,168886,749349,6687,1,805.97
66,273851,580045,5337,1,181.97
67,607466,923180,8134,1,142.15
68,806176,882648,2427,1,1322.63
69,483637,706434,7795,3,856.06
70,813261,387353,2456,1,741.07
71,502011,888800,4292,3,182.94
72,98249,368081,9120,1,1483.46
73,499789,988604,4335,2,420.54
74,876785,619286,4248,1,525.49
75,852024,669115,9450,1,103.25
76,822417,307856,688,3,1114.22
77,233055,446782,5962,2,207.05
78,856088,658124,1869,2,1174.09
79,735663,441832,6832,2,1094.28
80,130822,807125,5914,1,73.9
81,739770,999510,7620,4,1131.83
82,699257,950537,1819,2,627.02
83,910920,711772,4337,2,391.66
84,30617,94179,3449,2,103.22
85,114829,348853,9280,5,669.08
86,55311,640104,5549,2,360.98
87,973453,693150,5564,3,837.22
88,671270,651894,9415,2,986.66
89,632918,656316,6986,1,1198.17
90,715230,742361,9450,3,103.25
91,783733,448905,1043,4,1360.73
92,649775,514778,6927,1,856.41
93,554938,310777,6749,2,969.27
94,197416,291089,8875,1,398.36
95,878480,412827,793,2,1396.95
96,762376,549881,4292,1,182.94
97,285887,301110,1089,1,1373.0
98,591668,997984,4500,1,748.89
99,547351,178911,4537,2,641.1
100,119541,146081,5624,4,1235.6
101,507724,541527,641,1,677.15
102,479032,550253,6520,1,1359.76
103,658018,412761,2886,1,1362.09
104,793033,331859,7635,1,678.72
105,350414,583235,8762,3,1070.52
106,98063,488429,9436,3,344.19
107,295244,78178,485,1,333.43
108,549307,298361,6970,1,1322.29
109,518009,518128,7550,2,211.52
110,284307,116085,5967,2,494.37
111,477835,880323,793,1,1396.95
112,313286,738798,8784,1,550.3
113,962490,757839,4766,1,143.42
114,335924,70170,3962,1,582.1
115,878105,720863,3962,2,582.1
116,527305,969524,3966,3,1442.35
117,61751,254139,7635,1,678.72
118,497745,933830,7795,2,856.06
119,318288,700113,345,3,1220.68
120,643223,62387,8076,1,655.6
121,993619,105824,8784,2,550.3
122,171110,338277,4335,2,420.54
123,982901,380088,688,4,1114.22
124,576597,711129,8134,1,142.15
125,960477,486196,2523,2,58.5
126,500462,478198,4339,4,176.89
127,763471,703732,8831,2,328.9
128,346588,784158,688,1,1114.22
129,55750,635896,9677,2,845.49
130,439241,429359,8241,4,1102.11
131,113042,870688,8188,1,267.66
132,621801,490213,6059,1,1352.99
133,798558,270647,3687,2,969.4
134,148424,589726,7883,3,1179.77
135,39165,871699,3090,3,130.39
136,577496,282877,7177,1,883.85
137,27691,156478,1089,2,1373.0
138,781299,814522,6766,3,1327.85
139,285929,924703,6520,3,1359.76
140,634113,907932,8463,5,295.87
141,129694,826808,3966,1,1442.35
142,204558,972791,835,5,895.44
143,975028,54031,9502,3,57.03
144,294004,891226,8188,1,267.66
145,814308,165388,3966,1,1442.35
146,57941,985851,8076,2,655.6
147,703347,802180,9502,3,57.03
148,221963,292565,9891,1,1002.8
149,634843,672289,6162,1,1018.48
150,93802,453329,7453,3,1298.95
151,499718,856000,8784,1,550.3
152,173187,559981,6436,1,351.84
153,680424,879355,5864,1,1417.44
154,89668,2070,223,1,241.64
155,354277,352858,5188,1,889.98
156,597343,364399,6165,2,611.83
157,799758,995407,2614,1,638.09
158,246790,273475,6963,3,703.49
159,116652,599483,6687,1,805.97
160,631945,774963,5864,1,1417.44
161,967611,399407,2427,1,1322.63
162,467113,15955,485,1,333.43
163,603730,592498,2202,2,995.02
164,738100,824737,1871,2,966.19
165,509597,969396,6927,1,856.41
166,706359,413622,4518,3,315.01
167,671851,105824,2427,1,1322.63
168,161529,495905,4337,2,391.66
169,590683,374158,876,1,430.56
170,54952,72539,223,3,241.64
171,971079,936852,7866,1,1210.48
172,482802,248422,5564,1,837.22
173,19724,754145,5624,2,1235.6
174,286957,752524,5963,2,1175.81
175,946719,832299,2066,2,1364.6
176,729266,757665,5475,1,182.27
177,990837,647242,5239,2,947.58
178,80651,624788,5914,2,73.9
179,12700,54248,641,3,677.15
180,717332,329311,2059,3,1455.41
181,85293,985356,3962,1,582.1
182,789067,123005,9120,1,1483.46
183,345103,794494,4455,3,771.96
184,488654,762635,6770,1,752.17
185,567339,834406,2579,2,1152.56
186,306073,97420,217,1,101.36
187,852870,555501,6711,3,265.31
188,63128,420460,5864,1,1417.44
189,657040,746865,8875,3,398.36
190,900390,431685,5157,1,916.11
191,829428,64326,2512,2,1277.95
192,811356,949712,8769,2,192.04
193,909193,698953,2994,2,356.35
194,795061,677423,8862,2,219.82
195,842626,322990,5963,4,1175.81
196,508821,451745,5999,2,143.62
197,684503,269894,2614,2,638.09
198,560823,814274,6686,1,661.35
199,727372,585939,4462,2,1294.08
200,354583,167934,8746,1,236.28
201,256171,723876,7774,1,1078.55
202,749436,486866,7774,3,1078.55
203,881655,699684,7635,1,678.72
204,78946,211672,9280,1,669.08
205,727781,915595,8076,3,655.6
206,263412,610239,6749,2,969.27
207,318455,656316,2107,1,854.64
208,324134,868526,4755,1,220.96
209,184218,500874,8044,4,521.48
210,78609,422410,1869,2,1174.09
211,722457,840459,8188,2,267.66
212,586202,192894,4313,1,1464.61
213,58016,988268,3090,1,130.39
214,663986,291275,5914,1,73.9
215,83082,209916,1893,2,705.31
216,586393,334727,223,1,241.64
217,890708,403155,4131,1,1449.82
218,86875,189194,1819,1,627.02
219,427764,810996,2059,3,1455.41
220,689169,2022,2206,1,1483.74
221,908504,293595,9536,1,1208.91
222,732487,969279,2206,1,1483.74
223,684996,446298,6686,3,661.35
224,184697,804858,7174,1,223.3
225,672635,100185,5157,2,916.11
226,330097,417000,1958,3,411.77
227,467967,155568,5475,2,182.27
228,915166,987093,6766,1,1327.85
229,429246,676634,1043,2,1360.73
230,687688,80497,5157,1,916.11
231,80454,644311,159,1,102.22
232,877660,158541,3449,1,103.22
233,794856,121796,7022,4,846.92
234,717208,277568,4335,3,420.54
235,529363,94453,1043,3,1360.73
236,473584,354703,6766,4,1327.85
237,517045,692548,5914,2,73.9
238,749570,357779,5999,2,143.62
239,250083,785363,1738,1,483.88
240,869072,818163,8027,1,1430.95
241,839506,467275,6749,2,969.27
242,671019,406148,7177,2,883.85
243,892542,157265,6290,4,210.04
244,424637,382996,5806,5,1451.93
245,180578,76416,5619,4,1312.08
246,475676,729214,1819,2,627.02
247,714550,699706,9415,1,986.66
248,616121,787960,1161,2,1186.47
249,300622,996279,6436,1,351.84
250,440994,744071,8862,1,219.82
251,194152,509114,3962,4,582.1
252,557222,504867,159,3,102.22
253,577038,351574,4339,1,176.89
254,803065,709985,3962,3,582.1
255,737048,749492,8854,1,365.99
256,980729,306272,8456,2,537.95
257,206997,608056,7140,2,383.44
258,409108,210346,2427,1,1322.63
259,432552,606899,1073,2,1184.89
260,166482,85062,6001,1,1150.41
261,751950,184674,8769,1,192.04
262,379734,842901,6001,3,1150.41
263,641762,17088,6770,1,752.17
264,216155,142111,7747,1,740.59
265,333786,506953,2323,1,163.41
266,428061,389851,7550,3,211.52
267,73551,584075,9436,1,344.19
268,310413,719925,6302,2,1175.16
269,279163,115162,617,3,884.1
270,26319,739924,223,1,241.64
271,307834,853060,5619,1,1312.08
272,667850,754145,7569,1,285.31
273,297234,854091,8746,1,236.28
274,281269,214216,1161,2,1186.47
275,394582,369964,1958,1,411.77
276,381763,29236,5099,1,320.43
277,701246,669967,6162,1,1018.48
278,538609,153854,4292,1,182.94
279,234159,17546,3797,1,862.43
280,405634,930613,5099,4,320.43
281,625800,850221,7761,1,310.8
282,344253,236375,1799,5,1367.5
283,370708,431191,584,1,1194.22
284,959763,951521,9415,1,986.66
285,786179,73968,9407,2,267.44
286,719789,488429,9677,1,845.49
287,461801,964161,345,1,1220.68
288,575277,678477,9194,2,544.04
289,898496,907048,174,3,510.78
290,748353,546657,2865,2,217.48
291,181387,332301,9502,1,57.03
292,482808,407264,2994,4,356.35
293,149019,241646,2512,1,1277.95
294,52498,866364,4248,1,525.49
295,765874,140790,8831,1,328.9
296,79083,78974,2508,3,579.92
297,475813,362679,4537,5,641.1
298,877169,748946,8831,2,328.9
299,790549,596799,4307,1,1006.95
300,42135,880362,876,1,430.56
301,275057,437782,7883,4,1179.77
302,527779,594043,1819,2,627.02
303,848150,376043,5564,1,837.22
