Unnamed: 0,ProductID,Name,CategoryID,Price,Description,StockLevel,SupplierID
0,7174,Smartphones & Accessories - productize B2C schemas,1,223.3,Tonight child last risk size music. Specifically designed for smartphones & accessories.,135,44
1,6687,Wearable Technology - transition bleeding-edge paradigms,7,805.97,This fish middle market while institution fine. Specifically designed for wearable technology.,13,34
2,3246,TVs & Monitors - synergize mission-critical paradigms,4,1464.29,Stock teacher yard enjoy whose risk. Specifically designed for tvs & monitors.,385,33
3,8076,Smartphones & Accessories - engage holistic niches,1,655.6,Wide parent meeting development nation. Specifically designed for smartphones & accessories.,205,26
4,3952,Computers & Laptops - transform front-end niches,2,790.0,Provide instead eat second now president. Specifically designed for computers & laptops.,233,25
5,584,Smartphones & Accessories - matrix revolutionary e-commerce,1,1194.22,Training voice hair develop for your. Specifically designed for smartphones & accessories.,161,14
6,3962,TVs & Monitors - incentivize collaborative web-readiness,4,582.1,Few plan focus stop claim. Specifically designed for tvs & monitors.,320,96
7,8762,Smartphones & Accessories - incentivize clicks-and-mortar initiatives,1,1070.52,Western yourself beautiful often. Specifically designed for smartphones & accessories.,86,1
8,6832,Drones & Tech Toys - streamline next-generation e-business,8,1094.28,Increase operation while high probably. Specifically designed for drones & tech toys.,425,73
9,5704,Computers & Laptops - unleash enterprise convergence,2,590.77,Be such include seven. Specifically designed for computers & laptops.,12,86
10,4766,TVs & Monitors - target user-centric metrics,4,143.42,Five several effort author concern speech price. Specifically designed for tvs & monitors.,245,94
11,9436,Smartphones & Accessories - extend scalable convergence,1,344.19,Political usually you work stuff. Specifically designed for smartphones & accessories.,417,34
12,8746,Drones & Tech Toys - harness magnetic ROI,8,236.28,Boy including structure letter affect attack finally five. Specifically designed for drones & tech toys.,77,39
13,6970,TVs & Monitors - redefine distributed schemas,4,1322.29,Factor investment business. Specifically designed for tvs & monitors.,147,47
14,2949,Smartphones & Accessories - incubate global channels,1,1392.35,Hold doctor wife us. Specifically designed for smartphones & accessories.,26,67
15,4500,Gaming Consoles & Accessories - cultivate strategic action-items,5,748.89,Forward senior product throughout but. Specifically designed for gaming consoles & accessories.,341,1
16,2226,Smartphones & Accessories - repurpose synergistic functionalities,1,1315.98,Bag lawyer international until edge truth. Specifically designed for smartphones & accessories.,345,22
17,8188,Smartphones & Accessories - extend end-to-end technologies,1,267.66,Group challenge return more. Specifically designed for smartphones & accessories.,375,95
18,485,Drones & Tech Toys - scale world-class architectures,8,333.43,Already recently bad dinner ask also around. Specifically designed for drones & tech toys.,266,55
19,2579,Gaming Consoles & Accessories - maximize impactful content,5,1152.56,Study simple tree. Specifically designed for gaming consoles & accessories.,62,15
20,7550,Gaming Consoles & Accessories - transition efficient schemas,5,211.52,Ten close land long read. Specifically designed for gaming consoles & accessories.,314,68
21,4339,Smartphones & Accessories - morph 24/365 models,1,176.89,Business tree adult bar. Specifically designed for smartphones & accessories.,276,21
22,3090,Drones & Tech Toys - iterate leading-edge metrics,8,130.39,Fire clear spring environment. Specifically designed for drones & tech toys.,30,87
23,793,Gaming Consoles & Accessories - monetize B2B solutions,5,1396.95,Walk beyond large gas. Specifically designed for gaming consoles & accessories.,107,72
24,8862,Drones & Tech Toys - cultivate cutting-edge supply-chains,8,219.82,Yeah authority like peace south rate provide money. Specifically designed for drones & tech toys.,111,15
25,4969,Gaming Consoles & Accessories - expedite synergistic portals,5,889.71,Time citizen natural mean population herself wish. Specifically designed for gaming consoles & accessories.,483,78
26,7774,TVs & Monitors - extend strategic supply-chains,4,1078.55,Information nice size remain kid newspaper gas. Specifically designed for tvs & monitors.,396,49
27,2427,TVs & Monitors - facilitate best-of-breed mindshare,4,1322.63,Never rather usually several order matter glass. Specifically designed for tvs & monitors.,268,26
28,6766,Computers & Laptops - transition virtual ROI,2,1327.85,Lay general sell event analysis. Specifically designed for computers & laptops.,498,25
29,6070,Smartphones & Accessories - reinvent rich e-business,1,1154.63,Born speech something question defense people. Specifically designed for smartphones & accessories.,68,68
30,1756,Gaming Consoles & Accessories - facilitate open-source channels,5,705.37,According college remember long win energy. Specifically designed for gaming consoles & accessories.,286,73
31,1512,TVs & Monitors - seize B2B supply-chains,4,950.25,Million development push perform job there address. Specifically designed for tvs & monitors.,334,91
32,7883,Gaming Consoles & Accessories - architect 24/7 eyeballs,5,1179.77,Quite enjoy second clear fund. Specifically designed for gaming consoles & accessories.,217,86
33,1871,TVs & Monitors - unleash intuitive networks,4,966.19,Camera green build team put lot. Specifically designed for tvs & monitors.,200,66
34,217,TVs & Monitors - integrate 24/7 vortals,4,101.36,Political moment return own attorney participant general. Specifically designed for tvs & monitors.,194,18
35,3966,TVs & Monitors - envisioneer 24/365 e-tailers,4,1442.35,Environment hear pay close candidate will group. Specifically designed for tvs & monitors.,186,82
36,8463,Gaming Consoles & Accessories - empower revolutionary communities,5,295.87,During institution choice less under degree. Specifically designed for gaming consoles & accessories.,341,46
37,7747,Wearable Technology - revolutionize interactive markets,7,740.59,Them region blood heavy work piece. Specifically designed for wearable technology.,118,4
38,5157,TVs & Monitors - implement integrated methodologies,4,916.11,Travel section she imagine together part standard. Specifically designed for tvs & monitors.,0,9
