DiscountID,Name,Description,DiscountRate,StartDate,EndDate
594216,Super Black Friday 2021,Special discount for Black Friday shopping!,0.3,2021-11-25,2021-11-28
631882,Black Friday Special 2022,Special discount for Black Friday shopping!,0.3,2022-11-25,2022-11-28
17178,Black Friday Super Sale 2023,Special discount for Black Friday shopping!,0.3,2023-11-25,2023-11-28
574707,Christmas 2021 Sale,Celebrate Christmas with amazing discounts!,0.25,2021-12-10,2021-12-25
167905,Christmas 2022 Mega Sale,Celebrate Christmas with amazing discounts!,0.25,2022-12-10,2022-12-25
79329,Christmas 2023 Super Sale,Celebrate Christmas with amazing discounts!,0.25,2023-12-10,2023-12-25
546000,New Year 2022 Bonanza,Ring in this New Year with great deals!,0.15,2022-01-01,2022-01-05
328677,New Year Big Sale 2023,Ring in the New Year with great deals!,0.15,2023-01-01,2023-01-05
253835,Back to School 2022,Get ready for school with special discounts!,0.2,2022-08-20,2022-09-10
894444,Back to School Discounts 2023,Get ready for school with special discounts!,0.2,2023-08-20,2023-09-10
