InventoryLogID,ProductID,QuantityChange,ChangeDate,Reason
2afc8ee3-74bb-4c95-85d5-fdff5b5c7263,8854,-2,16-10-2022,Sale
059127ea-dbed-48fe-9b27-eab7361bf62c,2579,-3,13-07-2023,Sale
71c56e87-f991-480f-93f9-b64e93af15e6,1089,-1,05-06-2022,Sale
614078f8-9760-4ce9-ba62-c925b87fee6d,5324,-1,15-01-2023,Sale
e613a8bf-0b96-491b-8ecd-62bf82b08293,4438,-2,10-10-2022,Sale
43508f0b-4d15-4c62-acb3-278f2944a9a9,8875,-1,14-02-2023,Sale
e942eb3f-b589-4a0e-ac03-f9c375b24b26,7761,-1,30-05-2022,Sale
620e0e08-238c-4e87-b48c-dd14a23a1250,3892,-2,13-01-2022,Sale
107f3628-59d1-4075-86c2-774a3b141911,7022,-2,29-11-2022,Sale
002c6872-784b-450e-957b-b3ce50aac9ff,8456,-2,05-08-2022,Sale
a4907353-b7c8-40d6-bd73-22b105a19694,3892,-2,28-02-2023,Sale
64d83750-9564-4b53-b528-eddce5797399,7795,-1,20-12-2021,Sale
5324892e-8220-4bb7-9db0-f1aed9681f78,4969,-1,09-06-2022,Sale
1e16405d-a13e-4dfc-a0d9-07fd83b566e7,5531,-2,21-09-2022,Sale
e89e2a65-3197-4dca-a743-ae6f11858f4a,5726,-1,11-05-2023,Sale
f314ea27-b30c-4087-b6bc-df59af3bc79c,4455,-3,16-07-2022,Sale
79ce6615-ebc7-4de8-9ba2-3c9ef825e785,8456,-1,24-07-2023,Sale
de59ea73-1500-48b4-b1f8-86204bd6582a,4307,-2,27-11-2021,Sale
5c96c32a-ae81-4a39-951e-2710cf0673fa,4592,-4,05-11-2022,Sale
63a25168-0aeb-4776-9e16-94754f6a07ff,2323,-3,28-04-2022,Sale
59960838-85e9-4367-9dbd-394d5b726406,8241,-2,09-11-2022,Sale
6fc676a4-8c89-4ed0-af91-e391df38b9f4,6686,-2,10-01-2023,Sale
f8f4057d-97ad-406d-9ecb-f8517b272304,3952,-2,21-09-2023,Sale
27e68bd5-dff2-4563-9bac-760491dc1a0e,6766,-2,18-06-2022,Sale
6bba3247-0849-437c-918e-195825186f63,5704,-1,06-02-2023,Sale
326bbbd7-3a8d-4e82-823c-f62032285269,4766,-3,24-12-2022,Sale
75e12178-f270-42d4-9429-5dc9d8829a67,2489,-3,24-07-2022,Sale
73d4cc49-a6ae-40d6-97f1-fadb307e928d,1073,-2,10-10-2022,Sale
4a62391a-0934-45f4-b9ea-59b0ac99a4e3,876,-3,04-10-2023,Sale
c530ead2-30db-403b-8508-22379fea1855,7550,-3,07-06-2022,Sale
77b88220-d59a-4679-b382-c4fb81484ba3,6766,-1,06-08-2023,Sale
28c94a36-ae94-4b2b-97dd-dc1ef5a7bd80,7635,-1,20-04-2023,Sale
9b6c1743-3d18-4b98-bdfc-dad606ec15a4,617,-1,15-06-2023,Sale
55bd850c-b6b0-4f6e-bd3f-5053fa16b76b,8559,-2,19-11-2023,Sale
03dff6ae-5203-4d42-867a-e2996a3b5af9,5963,-1,06-11-2022,Sale
a4dacb6d-e785-405c-ab83-b1601d5f567d,1887,-1,16-02-2022,Sale
42988e5e-59ae-4926-825b-e6eb9d93388d,2508,-1,26-10-2023,Sale
52fe022d-7008-4660-bfbb-d4230f19043a,4292,-2,04-09-2022,Sale
4bdaa451-3f42-45d6-bdd3-9f24f7a791d9,6290,-2,29-09-2022,Sale
da8c5410-d8bc-45a8-9f51-16194c071cf6,6766,-3,14-09-2023,Sale
06b68a23-1a79-45b0-b5f8-4ba208a8b762,2508,-1,04-12-2022,Sale
81da2a18-4fdf-4a63-ba3a-1701d1878e26,6970,-1,07-06-2022,Sale
78bb04fc-547f-43d2-a703-33a8014db096,4335,-2,16-10-2023,Sale
dab94a4a-38f5-49c4-a4cb-c8412c116d16,6520,-1,26-02-2022,Sale
f2aa3188-5107-4924-b60a-99e3755d7e23,6070,-2,08-05-2022,Sale
009a765e-1b58-43f8-964e-e7471e061ceb,3892,-3,22-09-2022,Sale
d81a5fe9-1dcf-46af-b5c5-3d9dbcccb677,5704,-1,01-09-2023,Sale
07f8d7b7-172e-40a2-8852-8cac73f585a6,6963,-2,27-11-2022,Sale
d3057866-60e3-4a4d-8b36-aba6f4fd51cb,8769,-5,15-12-2021,Sale
7508aba1-0ca3-44f4-a78e-7f2758d6a1fd,1887,-1,11-04-2023,Sale
ae84e5a5-17d3-4295-8ad3-05751816a7ac,4455,-2,06-04-2022,Sale
2d7e1a18-23e2-4243-b405-a45a13c0a92e,9891,-2,27-01-2022,Sale
afa60671-72d6-41b5-85d1-083df48b6c81,2059,-4,07-07-2023,Sale
d3e3979e-e93b-41b2-8f50-4fd59668cb7d,1871,-1,22-12-2021,Sale
f652f36c-190f-40c6-b00b-daaa0325170a,7569,-1,29-11-2021,Sale
052d47b5-b33d-4b77-ade2-71af7eacdd32,8241,-2,28-04-2022,Sale
