OrderDetailID,OrderID,ProductID,Quantity,Price,TotalAmount
378554,922132,2202,1,995.02,995.02
102058,615279,6149,2,1189.75,2379.5
588419,762420,1161,1,1186.47,1186.47
582418,762420,9410,4,594.08,2376.32
854601,561016,9536,3,1208.91,3626.7300000000005
632771,561016,6162,2,1018.48,2036.96
290167,653919,5999,1,143.62,143.62
472956,653919,5759,2,1355.49,2710.98
435543,979578,8854,1,365.99,365.99
126298,671829,7177,1,883.85,883.85
808208,362065,5188,5,889.98,4449.9
447552,899412,6612,2,247.03,494.06
732672,899412,9415,4,986.66,3946.64
248003,899412,4307,1,1006.95,1006.95
410934,432755,1043,4,1360.73,5442.92
652821,953264,4270,2,1471.99,2943.98
837452,953264,9415,1,986.66,986.66
491604,953264,3952,1,790.0,790.0
444248,348387,5999,3,143.62,430.86
605717,348387,4518,1,315.01,315.01
954659,381851,7174,2,223.3,446.6
865710,381851,4071,2,956.73,1913.46
126426,969578,4537,3,641.1,1923.3000000000002
524369,969578,4292,1,182.94,182.94
197950,50961,6766,2,1327.85,2655.7
940153,50961,5475,1,182.27,182.27
871103,50961,1308,2,193.92,387.84
938878,732364,2512,1,1277.95,1277.95
847773,448919,8456,1,537.95,537.95
943689,514853,6446,2,98.32,196.64
346794,514853,2508,2,579.92,1159.84
235134,157916,5141,1,847.68,847.68
182131,157916,7022,2,846.92,1693.84
742187,980181,6770,1,752.17,752.17
262616,980181,5239,2,947.58,1895.16
570309,886927,8746,1,236.28,236.28
657940,243531,6001,2,1150.41,2300.82
181112,243531,6446,2,98.32,196.64
459633,243531,8938,1,363.71,363.71
516452,560914,6892,1,1370.66,1370.66
373917,560914,835,1,895.44,895.44
505303,600316,6536,2,629.12,1258.24
547811,600316,174,2,510.78,1021.56
615163,600316,7569,2,285.31,570.62
107013,558718,6612,1,247.03,247.03
862692,558718,4313,4,1464.61,5858.44
195973,558718,2512,1,1277.95,1277.95
48924,861601,7174,3,223.3,669.9000000000001
521519,833069,2614,1,638.09,638.09
596754,833069,4438,1,1256.48,1256.48
422319,706325,8559,3,356.76,1070.28
544474,857424,6162,1,1018.48,1018.48
580747,857424,4071,3,956.73,2870.19
582100,164754,688,1,1114.22,1114.22
586430,164754,2066,1,1364.6,1364.6
742925,545683,1530,1,1056.51,1056.51
49701,545683,8044,2,521.48,1042.96
507818,545683,6165,1,611.83,611.83
279425,642314,1043,1,1360.73,1360.73
192983,642314,2512,2,1277.95,2555.9
25113,539243,6986,1,1198.17,1198.17
301380,539243,6536,1,629.12,629.12
413207,749492,2508,1,579.92,579.92
980520,796954,5324,2,1495.85,2991.7
280930,903831,2066,3,1364.6,4093.7999999999997
998578,903831,5967,1,494.37,494.37
769526,764528,6686,3,661.35,1984.0500000000002
871159,523101,9415,1,986.66,986.66
890974,373670,5962,1,207.05,207.05
673625,373670,5026,2,753.2,1506.4
860991,373670,2066,2,1364.6,2729.2
481784,714150,12,3,1460.7,4382.1
512857,714150,7774,2,1078.55,2157.1
126244,434578,232,1,314.82,314.82
305243,434578,584,3,1194.22,3582.66
611774,434578,4292,1,182.94,182.94
551184,791432,5549,1,360.98,360.98
549085,791432,1871,3,966.19,2898.57
600321,791432,7883,4,1179.77,4719.08
765910,284012,12,1,1460.7,1460.7
819532,284012,8862,1,219.82,219.82
495946,515456,7569,1,285.31,285.31
921110,905219,5157,2,916.11,1832.22
31902,905219,8854,2,365.99,731.98
725212,458053,1161,3,1186.47,3559.41
160158,607849,2436,3,358.96,1076.8799999999999
893656,607849,2206,1,1483.74,1483.74
391372,607849,5382,1,993.32,993.32
890492,702313,1893,2,705.31,1410.62
911179,702313,8167,1,183.11,183.11
920363,499520,3401,2,211.19,422.38
988382,391347,4335,1,420.54,420.54
434199,391347,3144,1,876.59,876.59
244626,391347,4335,2,420.54,841.08
76564,232128,793,5,1396.95,6984.75
128023,856438,7795,2,856.06,1712.12
693796,856438,1869,3,1174.09,3522.2699999999995
431972,856438,1512,1,950.25,950.25
309048,977003,835,3,895.44,2686.32
481000,977003,3687,2,969.4,1938.8
560501,977003,5881,1,51.44,51.44
432681,457972,6770,2,752.17,1504.34
242108,457972,9891,1,1002.8,1002.8
334103,457972,8463,1,295.87,295.87
171554,523647,661,2,861.91,1723.82
675196,523647,4969,1,889.71,889.71
579199,696464,1530,1,1056.51,1056.51
858022,696464,8167,1,183.11,183.11
753879,358883,4537,2,641.1,1282.2
142761,358883,5274,1,528.05,528.05
791222,358883,2427,2,1322.63,2645.26
83004,828648,8463,1,295.87,295.87
524952,657507,4462,2,1294.08,2588.16
92101,657507,5726,2,636.42,1272.84
728118,235173,5274,2,528.05,1056.1
14848,235173,2579,2,1152.56,2305.12
729727,162063,7174,3,223.3,669.9000000000001
108626,716142,7550,2,211.52,423.04
