,OrderID,CustomerID,OrderDate,TotalAmount,Status,OrderYearMonth
0,922132,793413,2023-02-28,1745.58,Delivered,2023-12
1,615279,377850,2023-07-18,3300.72,Delivered,2023-12
2,762420,842422,2023-02-03,2788.54,Delivered,2022-11
3,561016,317117,2021-12-07,3586.78,Delivered,2022-10
4,653919,277421,2023-11-05,1643.35,Delivered,2023-03
5,979578,230591,2023-10-04,3031.16,Delivered,2022-01
6,671829,539640,2023-12-22,2241.35,Processing,2022-12
7,362065,435142,2022-09-29,1890.07,Delivered,2023-11
8,899412,117732,2022-07-29,3248.01,Delivered,2022-07
9,432755,669640,2021-11-20,3906.67,Delivered,2022-03
10,953264,509335,2023-02-03,296.66,Delivered,2023-09
11,348387,802174,2023-08-07,2920.33,Delivered,2022-11
12,381851,205081,2022-02-17,4198.1,Delivered,2022-02
13,969578,595840,2023-03-12,2620.23,Delivered,2021-11
14,50961,724526,2023-11-16,4205.73,Shipped,2023-08
15,732364,864152,2022-07-29,3152.12,Delivered,2022-04
16,448919,775481,2022-06-24,4568.99,Delivered,2023-10
17,514853,340943,2022-06-12,1494.34,Delivered,2022-03
18,157916,557431,2023-09-05,1771.41,Delivered,2022-01
19,980181,794883,2022-11-23,4690.44,Delivered,2022-05
20,886927,165972,2022-12-25,2770.76,Delivered,2022-10
21,243531,488116,2022-12-31,3828.08,Delivered,2022-09
22,560914,945504,2023-10-10,2943.47,Delivered,2023-07
23,600316,957579,2023-06-13,4942.13,Delivered,2022-02
24,558718,809713,2022-05-02,1985.49,Delivered,2022-09
25,861601,987897,2023-11-06,4433.66,Delivered,2023-10
26,833069,550141,2022-08-03,2012.51,Delivered,2021-12
27,706325,558286,2021-12-01,4626.16,Delivered,2022-09
28,857424,544177,2023-06-28,4006.01,Delivered,2022-04
29,164754,418737,2023-08-31,2515.96,Delivered,2021-11
30,545683,486546,2023-11-26,4461.79,Shipped,2022-09
31,642314,827037,2022-05-08,2278.0,Delivered,2022-07
32,539243,859767,2023-09-16,3106.61,Delivered,2022-07
33,749492,475921,2022-06-18,950.8,Delivered,2023-09
34,796954,315040,2022-12-17,167.89,Delivered,2022-10
35,903831,307465,2022-10-11,2375.39,Delivered,2023-11
36,764528,812869,2022-01-02,437.7,Delivered,2022-03
37,523101,150383,2023-07-03,4637.2,Delivered,2022-12
38,373670,850318,2022-05-28,3404.88,Delivered,2023-01
39,714150,368604,2023-08-31,1802.14,Delivered,2023-07
40,434578,235556,2022-07-21,4069.96,Delivered,2023-10
41,791432,768137,2023-11-02,167.07,Delivered,2023-01
42,284012,403970,2022-06-26,4392.81,Delivered,2022-02
43,515456,584469,2023-02-05,2384.18,Delivered,2023-05
44,905219,113921,2022-11-26,2315.27,Delivered,2022-05
45,458053,411365,2022-04-21,4906.78,Delivered,2023-11
46,607849,827017,2021-11-25,1808.59,Delivered,2022-09
47,702313,574398,2023-12-19,4375.79,Processing,2022-08
48,499520,476421,2022-07-22,4421.21,Delivered,2023-10
49,391347,757615,2023-07-03,2132.44,Delivered,2022-07
50,232128,857056,2023-08-10,2904.17,Delivered,2022-12
51,856438,813392,2022-07-30,3076.26,Delivered,2022-04
52,977003,962525,2022-10-13,1673.89,Delivered,2022-10
53,457972,207247,2022-05-31,2673.23,Delivered,2023-12
54,523647,167259,2022-04-26,1703.08,Delivered,2022-05
55,696464,809971,2023-09-19,4750.01,Delivered,2021-12
56,358883,17082,2022-11-05,1649.81,Delivered,2023-06
57,828648,88505,2022-06-29,2342.02,Delivered,2023-09
58,657507,791660,2022-01-16,70.7,Delivered,2023-12
59,235173,212388,2022-01-15,285.76,Delivered,2023-11
60,162063,66539,2021-11-28,1162.4,Delivered,2022-03
61,716142,349384,2022-10-02,4410.32,Delivered,2022-07
62,320052,827443,2023-02-18,620.2,Delivered,2022-07
63,997319,39490,2022-02-03,824.29,Delivered,2023-01
64,465146,240291,2022-10-04,1956.14,Delivered,2022-05
65,346919,875339,2021-12-13,3760.69,Delivered,2023-08
66,905338,234350,2022-11-26,2174.55,Delivered,2022-09
67,489789,159251,2022-05-22,714.08,Delivered,2022-06
68,245479,62062,2022-05-03,4213.78,Delivered,2023-09
69,323473,441395,2023-08-25,3600.21,Delivered,2022-08
70,13247,717527,2022-07-24,1478.46,Delivered,2021-11
71,820681,14434,2022-01-18,4636.89,Delivered,2023-09
72,179652,260194,2023-12-25,3701.61,Processing,2023-06
73,380529,518323,2023-05-08,3363.34,Delivered,2022-04
74,915371,305257,2022-12-20,3772.27,Delivered,2022-12
75,125449,864622,2022-02-04,4858.97,Delivered,2023-09
