PaymentID,TransactionID,PaymentDate,PaymentMethod
3037,195042,2023-02-28,Debit Card
89925,124743,2023-07-18,Gift Card
97587,324763,2023-02-03,Debit Card
88063,86683,2021-12-07,Bank Transfer
45972,997754,2023-11-05,Bank Transfer
54573,777613,2023-10-04,Bank Transfer
49386,271575,2023-12-22,PayPal
82114,656768,2022-09-29,Bank Transfer
17499,21155,2022-07-29,Bank Transfer
55363,783657,2021-11-20,PayPal
30919,119706,2023-02-03,Bank Transfer
79326,35940,2023-08-07,Bank Transfer
91167,510550,2022-02-17,PayPal
31518,295720,2023-03-12,Gift Card
70258,970523,2023-11-16,PayPal
22798,590013,2022-07-29,PayPal
75904,832325,2022-06-24,PayPal
19968,345859,2022-06-12,Bank Transfer
29647,184541,2023-09-05,Gift Card
23079,420639,2022-11-23,Debit Card
55300,443774,2022-12-25,PayPal
53594,944805,2022-12-31,Debit Card
75400,329999,2023-10-10,PayPal
45129,269166,2023-06-13,Gift Card
76540,988799,2022-05-02,Debit Card
12324,295813,2023-11-06,Credit Card
26610,342746,2022-08-03,Gift Card
38332,227671,2021-12-01,Gift Card
6061,484431,2023-06-28,PayPal
58326,688916,2023-08-31,Gift Card
53957,706,2023-11-26,Bank Transfer
2725,902939,2022-05-08,Gift Card
95497,324671,2023-09-16,Gift Card
45081,905979,2022-06-18,Debit Card
21989,884821,2022-12-17,PayPal
97890,329092,2022-10-11,Bank Transfer
33828,253499,2022-01-02,Gift Card
39031,801502,2023-07-03,Bank Transfer
90904,378938,2022-05-28,PayPal
36094,835040,2023-08-31,Gift Card
29088,650627,2022-07-21,Bank Transfer
28024,876794,2023-11-02,Credit Card
92620,828109,2022-06-26,PayPal
28837,825235,2023-02-05,Gift Card
95012,859028,2022-11-26,Debit Card
29706,502123,2022-04-21,Credit Card
97831,903264,2021-11-25,Debit Card
41592,963708,2023-12-19,Credit Card
6823,678406,2022-07-22,Bank Transfer
28756,487993,2023-07-03,Credit Card
80413,605708,2023-08-10,PayPal
