ShipmentID,OrderID,OrderDate,ShippedDate,DeliveryDate,ReturnDate,EstimatedDelivery,Carrier,TrackingNumber
4717452,922132,2023-02-28,2023-03-01,2023-03-09,,2023-03-14,FedEx,zTL871015239
9278362,615279,2023-07-18,2023-07-21,2023-07-28,,2023-07-27,USPS,THD014691215
6867523,762420,2023-02-03,2023-02-06,2023-02-07,,2023-02-14,DHL,DVo263546399
7946417,561016,2021-12-07,2021-12-10,2021-12-13,,2021-12-12,USPS,AZM116162041
8081639,653919,2023-11-05,2023-11-08,2023-11-19,,2023-11-13,USPS,Xek065098298
8413341,979578,2023-10-04,2023-10-07,2023-10-12,,2023-10-16,DHL,QfJ132470492
7139647,362065,2022-09-29,2022-10-01,2022-10-06,,2022-10-03,USPS,ylj356883504
1477104,899412,2022-07-29,2022-08-01,2022-08-06,,2022-08-03,Royal Mail,wNh199118405
9409469,432755,2021-11-20,2021-11-21,2021-12-01,,2021-12-02,Royal Mail,evT223022814
5393175,953264,2023-02-03,2023-02-05,2023-02-10,,2023-02-09,UPS,gZS138259732
8305574,348387,2023-08-07,2023-08-09,2023-08-13,,2023-08-22,DHL,KOk056552270
9757818,381851,2022-02-17,2022-02-20,2022-03-01,,2022-02-28,FedEx,ZbT863784148
7641338,969578,2023-03-12,2023-03-15,2023-03-18,,2023-03-19,UPS,ugD048183912
7324615,50961,2023-11-16,2023-11-18,,,2023-11-23,FedEx,RpP141109942
8465106,732364,2022-07-29,2022-07-30,2022-07-31,,2022-08-03,UPS,oSe365162871
1430771,448919,2022-06-24,2022-06-27,2022-07-03,,2022-06-29,Royal Mail,wYp922865965
2281919,514853,2022-06-12,2022-06-14,2022-06-22,,2022-06-26,FedEx,Hgs385365181
8665851,157916,2023-09-05,2023-09-07,2023-09-18,,2023-09-20,USPS,uYb905910231
554359,980181,2022-11-23,2022-11-25,2022-12-05,,2022-12-08,DHL,FHr395226456
4014003,886927,2022-12-25,2022-12-26,2023-01-05,,2022-12-27,UPS,vvl112485413
1152024,243531,2022-12-31,2023-01-01,2023-01-04,,2023-01-07,USPS,eRc891047952
9881660,560914,2023-10-10,2023-10-13,2023-10-12,,2023-10-18,USPS,Dnv808374746
1355935,600316,2023-06-13,2023-06-16,2023-06-23,,2023-06-23,FedEx,Hcw126800069
2995800,558718,2022-05-02,2022-05-04,2022-05-05,,2022-05-09,USPS,cNe694114785
7462084,861601,2023-11-06,2023-11-09,2023-11-17,,2023-11-15,USPS,wkj625438091
453313,833069,2022-08-03,2022-08-06,2022-08-08,,2022-08-08,USPS,SqG694815294
1638356,706325,2021-12-01,2021-12-02,2021-12-13,,2021-12-09,DHL,Iug736297411
6355593,857424,2023-06-28,2023-07-01,2023-07-03,,2023-07-13,DHL,HrG335181154
211524,164754,2023-08-31,2023-09-02,2023-09-04,,2023-09-12,FedEx,ueW510050423
1124770,545683,2023-11-26,2023-11-27,,,2023-12-07,FedEx,lhO781370471
7291261,642314,2022-05-08,2022-05-09,2022-05-14,,2022-05-22,FedEx,ObW380277180
2104926,539243,2023-09-16,2023-09-19,2023-09-24,,2023-10-02,Royal Mail,Vww383407573
4172051,749492,2022-06-18,2022-06-21,2022-06-25,,2022-06-27,DHL,dwR029624356
9089653,796954,2022-12-17,2022-12-18,2022-12-28,,2022-12-26,DHL,OCp222020001
1250947,903831,2022-10-11,2022-10-14,2022-10-23,,2022-10-18,DHL,idJ321477657
4741313,764528,2022-01-02,2022-01-03,2022-01-15,,2022-01-06,USPS,MSg448172498
3696163,523101,2023-07-03,2023-07-06,2023-07-10,,2023-07-07,Royal Mail,wLL247909427
7627578,373670,2022-05-28,2022-05-30,2022-05-30,,2022-05-31,Royal Mail,nTC240270247
7538673,714150,2023-08-31,2023-09-02,2023-09-03,,2023-09-13,FedEx,nvE798430917
7854010,434578,2022-07-21,2022-07-22,2022-08-01,,2022-07-23,DHL,sWX054799413
8881283,791432,2023-11-02,2023-11-05,2023-11-04,,2023-11-15,FedEx,jXW602499794
2646377,284012,2022-06-26,2022-06-28,2022-07-04,,2022-07-07,DHL,Huv035551456
5670088,515456,2023-02-05,2023-02-07,2023-02-07,,2023-02-21,DHL,wjP481349971
429488,905219,2022-11-26,2022-11-29,2022-12-06,,2022-12-01,Royal Mail,EEe776791722
5219651,458053,2022-04-21,2022-04-22,2022-05-02,,2022-05-05,Royal Mail,rLu858718297
5585739,607849,2021-11-25,2021-11-27,2021-12-03,,2021-12-07,UPS,Rif389082935
5065108,499520,2022-07-22,2022-07-24,2022-08-03,,2022-08-03,USPS,Qbg339262773
584454,391347,2023-07-03,2023-07-04,2023-07-05,,2023-07-06,Royal Mail,Pul603499244
7129558,232128,2023-08-10,2023-08-13,2023-08-16,,2023-08-17,UPS,KXv201701551
3617397,856438,2022-07-30,2022-08-02,2022-08-13,,2022-08-14,UPS,Kpo010227092
1268733,977003,2022-10-13,2022-10-14,2022-10-17,,2022-10-23,DHL,TgB763794908
2743,457972,2022-05-31,2022-06-02,2022-06-10,,2022-06-11,UPS,TBE037571844
7690225,523647,2022-04-26,2022-04-27,2022-05-05,,2022-04-29,UPS,Psg908690759
3167618,696464,2023-09-19,2023-09-20,2023-09-24,,2023-09-21,DHL,mPe415194285
6973779,358883,2022-11-05,2022-11-07,2022-11-10,,2022-11-10,USPS,Lpv663053438
5720881,828648,2022-06-29,2022-07-02,2022-07-07,,2022-07-14,DHL,CHI643017947
1142469,657507,2022-01-16,2022-01-18,2022-01-28,,2022-01-26,FedEx,AjX359724127
3720198,235173,2022-01-15,2022-01-16,2022-01-24,,2022-01-19,USPS,HUT900320834
5575095,162063,2021-11-28,2021-11-29,2021-12-09,,2021-12-07,DHL,OiE208046743
9289493,716142,2022-10-02,2022-10-03,2022-10-14,,2022-10-15,FedEx,LVe024409016
1681871,320052,2023-02-18,2023-02-19,2023-02-25,,2023-03-02,FedEx,UnE751245668
1014286,997319,2022-02-03,2022-02-04,2022-02-16,,2022-02-05,USPS,uVA932543153
2700727,465146,2022-10-04,2022-10-05,2022-10-18,,2022-10-18,Royal Mail,kCu156783117
1389401,346919,2021-12-13,2021-12-15,2021-12-16,,2021-12-22,DHL,lne517914008
6054375,905338,2022-11-26,2022-11-29,2022-12-05,,2022-12-12,DHL,KYK389098333
5962268,489789,2022-05-22,2022-05-24,2022-06-05,,2022-06-02,FedEx,ISu328137206
8696112,245479,2022-05-03,2022-05-06,2022-05-09,,2022-05-18,FedEx,aCR391375098
6543486,323473,2023-08-25,2023-08-27,2023-08-31,,2023-09-02,Royal Mail,SJc894298566
5942086,13247,2022-07-24,2022-07-25,2022-08-02,,2022-08-06,USPS,lAa378831960
5543023,820681,2022-01-18,2022-01-20,2022-01-30,,2022-01-26,USPS,Exg065671740
1701219,380529,2023-05-08,2023-05-09,2023-05-22,,2023-05-17,FedEx,wzU923447326
2334000,915371,2022-12-20,2022-12-21,2023-01-03,,2022-12-31,FedEx,wIV609443680
8066295,125449,2022-02-04,2022-02-05,2022-02-16,,2022-02-09,USPS,ERt941132948
613533,292763,2022-06-15,2022-06-18,2022-06-29,,2022-06-22,USPS,tDL423883208
853191,360198,2022-01-16,2022-01-18,2022-01-22,,2022-01-19,UPS,Bsn551841511
7581426,745897,2023-01-14,2023-01-16,2023-01-28,,2023-01-17,USPS,SuV648235794
543891,575397,2022-01-08,2022-01-11,2022-01-16,,2022-01-23,UPS,zBC357774150
6257268,164842,2023-02-13,2023-02-15,2023-02-21,,2023-02-23,UPS,pcc688720918
3563747,718171,2022-11-29,2022-11-30,2022-12-01,,2022-12-14,DHL,Dnc574859579
2350345,881214,2022-03-19,2022-03-21,2022-03-25,,2022-03-25,Royal Mail,zHf600198510
3544763,172913,2023-10-01,2023-10-03,2023-10-06,,2023-10-12,DHL,ooA277196849
8662062,724090,2023-10-21,2023-10-22,2023-10-27,,2023-10-27,FedEx,RnY724345513
3228009,609638,2023-08-05,2023-08-07,2023-08-10,,2023-08-21,USPS,JtG744274773
3695003,417609,2021-11-28,2021-12-01,2021-12-01,,2021-12-13,FedEx,cIO020282198
7985068,681482,2022-05-19,2022-05-20,2022-05-28,,2022-05-21,Royal Mail,CVm363104642
3454090,148833,2022-03-07,2022-03-08,2022-03-18,,2022-03-21,Royal Mail,mEH225853946
8710413,257135,2023-06-01,2023-06-04,2023-06-08,,2023-06-12,UPS,gHI187821665
4225153,884987,2023-06-24,2023-06-26,2023-06-27,,2023-07-08,USPS,pbp230027891
9228528,457324,2022-11-30,2022-12-02,2022-12-14,,2022-12-09,UPS,cnN585286823
7492847,934898,2022-01-22,2022-01-24,2022-01-29,,2022-02-02,UPS,ZEM709361212
4866047,649535,2022-07-29,2022-07-30,2022-08-11,,2022-08-07,UPS,oyR208168659
9220076,104834,2022-08-22,2022-08-23,2022-09-01,,2022-08-24,FedEx,ZTu774425255
6373498,641897,2023-04-10,2023-04-11,2023-04-21,,2023-04-16,UPS,XlX226076874
7012546,546331,2022-03-15,2022-03-17,2022-03-21,,2022-03-18,Royal Mail,BPu722004985
2375896,858685,2023-11-18,2023-11-21,,,2023-12-05,Royal Mail,bwn935795095
898107,630966,2023-04-26,2023-04-29,2023-05-05,,2023-05-02,DHL,brj658789577
5973778,697405,2023-01-26,2023-01-27,2023-02-05,,2023-02-10,UPS,kNM822424697
4597009,304907,2022-11-04,2022-11-06,2022-11-12,,2022-11-13,UPS,xOU989412265
5794314,592267,2023-01-21,2023-01-24,2023-02-02,,2023-02-07,DHL,dyJ095010537
7046932,244131,2022-05-08,2022-05-10,2022-05-20,,2022-05-21,DHL,Nbd324956813
3318918,977155,2023-10-21,2023-10-24,2023-10-26,,2023-11-05,USPS,edX839356610
8039554,100095,2022-11-30,2022-12-01,2022-12-13,,2022-12-02,UPS,voT635422027
7110645,262254,2023-07-19,2023-07-21,2023-07-28,,2023-07-24,USPS,Quf177688846
9827780,842484,2022-11-22,2022-11-24,2022-12-03,,2022-12-01,DHL,nEf128607711
7063329,381215,2022-03-27,2022-03-29,2022-03-31,,2022-04-11,USPS,NjZ678896174
9685693,484832,2022-08-10,2022-08-13,2022-08-22,,2022-08-23,DHL,ZDZ864188971
4541016,157683,2022-12-22,2022-12-23,2022-12-31,,2023-01-06,USPS,Rlh833497335
3553802,519314,2022-07-15,2022-07-18,2022-07-23,,2022-07-28,UPS,QlT464666685
2207967,116011,2021-12-25,2021-12-27,2022-01-07,,2021-12-30,Royal Mail,ckH190378210
