TransactionID,OrderID,Amount,Date,Type,DiscountApplied,DiscountID
195042,922132,1745.58,2023-02-28,Sale,False,
124743,615279,3300.72,2023-07-18,Sale,False,
324763,762420,2788.54,2023-02-03,Sale,False,
86683,561016,3586.78,2021-12-07,Sale,False,
997754,653919,1643.35,2023-11-05,Sale,False,
777613,979578,3031.16,2023-10-04,Sale,False,
271575,671829,2241.35,2023-12-22,Processing,True,79329.0
656768,362065,1890.07,2022-09-29,Sale,False,
21155,899412,3248.01,2022-07-29,Sale,False,
783657,432755,3906.67,2021-11-20,Sale,False,
119706,953264,296.66,2023-02-03,Sale,False,
35940,348387,2920.33,2023-08-07,Sale,False,
510550,381851,4198.1,2022-02-17,Sale,False,
295720,969578,2620.23,2023-03-12,Sale,False,
970523,50961,4205.73,2023-11-16,Sale,False,
590013,732364,3152.12,2022-07-29,Sale,False,
832325,448919,4568.99,2022-06-24,Sale,False,
345859,514853,1494.34,2022-06-12,Sale,False,
184541,157916,1771.41,2023-09-05,Sale,True,894444.0
420639,980181,4690.44,2022-11-23,Sale,False,
443774,886927,2770.76,2022-12-25,Sale,True,167905.0
944805,243531,3828.08,2022-12-31,Sale,False,
329999,560914,2943.47,2023-10-10,Sale,False,
269166,600316,4942.13,2023-06-13,Sale,False,
988799,558718,1985.49,2022-05-02,Sale,False,
295813,861601,4433.66,2023-11-06,Sale,False,
342746,833069,2012.51,2022-08-03,Sale,False,
227671,706325,4626.16,2021-12-01,Sale,False,
484431,857424,4006.01,2023-06-28,Sale,False,
688916,164754,2515.96,2023-08-31,Sale,True,894444.0
706,545683,4461.79,2023-11-26,Sale,True,17178.0
902939,642314,2278.0,2022-05-08,Sale,False,
324671,539243,3106.61,2023-09-16,Sale,False,
905979,749492,950.8,2022-06-18,Sale,False,
884821,796954,167.89,2022-12-17,Sale,True,167905.0
329092,903831,2375.39,2022-10-11,Sale,False,
253499,764528,437.7,2022-01-02,Sale,True,546000.0
801502,523101,4637.2,2023-07-03,Sale,False,
378938,373670,3404.88,2022-05-28,Sale,False,
835040,714150,1802.14,2023-08-31,Sale,True,894444.0
650627,434578,4069.96,2022-07-21,Sale,False,
876794,791432,167.07,2023-11-02,Sale,False,
828109,284012,4392.81,2022-06-26,Sale,False,
825235,515456,2384.18,2023-02-05,Sale,False,
859028,905219,2315.27,2022-11-26,Sale,True,631882.0
502123,458053,4906.78,2022-04-21,Sale,False,
903264,607849,1808.59,2021-11-25,Sale,True,594216.0
963708,702313,4375.79,2023-12-19,Processing,True,79329.0
678406,499520,4421.21,2022-07-22,Sale,False,
487993,391347,2132.44,2023-07-03,Sale,False,
605708,232128,2904.17,2023-08-10,Sale,False,
263121,856438,3076.26,2022-07-30,Sale,False,
759390,977003,1673.89,2022-10-13,Sale,False,
381831,457972,2673.23,2022-05-31,Sale,False,
109995,523647,1703.08,2022-04-26,Sale,False,
550247,696464,4750.01,2023-09-19,Sale,False,
979426,358883,1649.81,2022-11-05,Sale,False,
756018,828648,2342.02,2022-06-29,Sale,False,
935390,657507,70.7,2022-01-16,Sale,False,
674183,235173,285.76,2022-01-15,Sale,False,
589601,162063,1162.4,2021-11-28,Sale,True,594216.0
480885,716142,4410.32,2022-10-02,Sale,False,
741852,320052,620.2,2023-02-18,Sale,False,
234100,997319,824.29,2022-02-03,Sale,False,
776467,465146,1956.14,2022-10-04,Sale,False,
808643,346919,3760.69,2021-12-13,Sale,True,574707.0
250396,905338,2174.55,2022-11-26,Sale,True,631882.0
724949,489789,714.08,2022-05-22,Sale,False,
674337,245479,4213.78,2022-05-03,Sale,False,
788305,323473,3600.21,2023-08-25,Sale,True,894444.0
299473,13247,1478.46,2022-07-24,Sale,False,
466143,820681,4636.89,2022-01-18,Sale,False,
786080,179652,3701.61,2023-12-25,Processing,True,79329.0
47712,380529,3363.34,2023-05-08,Sale,False,
616268,915371,3772.27,2022-12-20,Sale,True,167905.0
442947,125449,4858.97,2022-02-04,Sale,False,
735894,292763,4874.1,2022-06-15,Sale,False,
138217,360198,1068.22,2022-01-16,Sale,False,
362199,745897,600.59,2023-01-14,Sale,False,
386289,575397,4119.28,2022-01-08,Sale,False,
803182,164842,3921.22,2023-02-13,Sale,False,
967822,718171,2588.81,2022-11-29,Sale,False,
993982,881214,880.91,2022-03-19,Sale,False,
197125,172913,2778.73,2023-10-01,Sale,False,
516851,724090,2419.91,2023-10-21,Sale,False,
135897,609638,2162.41,2023-08-05,Sale,False,
562939,417609,4041.72,2021-11-28,Sale,True,594216.0
408106,681482,759.35,2022-05-19,Sale,False,
183721,148833,2794.23,2022-03-07,Sale,False,
406371,257135,566.15,2023-06-01,Sale,False,
278065,884987,165.36,2023-06-24,Sale,False,
444766,457324,2991.02,2022-11-30,Sale,False,
340937,934898,4266.31,2022-01-22,Sale,False,
112809,649535,1062.25,2022-07-29,Sale,False,
671952,104834,1094.77,2022-08-22,Sale,True,253835.0
153909,641897,3729.19,2023-04-10,Sale,False,
743027,546331,368.95,2022-03-15,Sale,False,
966969,858685,3638.88,2023-11-18,Sale,False,
723670,630966,3454.58,2023-04-26,Sale,False,
512165,697405,231.71,2023-01-26,Sale,False,
534826,304907,2690.37,2022-11-04,Sale,False,
914885,592267,928.07,2023-01-21,Sale,False,
991846,244131,4639.03,2022-05-08,Sale,False,
727160,977155,1915.22,2023-10-21,Sale,False,
800636,714634,1885.51,2023-12-20,Processing,True,79329.0
402271,100095,2238.66,2022-11-30,Sale,False,
963754,997893,1659.01,2023-12-17,Processing,True,79329.0
12439,262254,3391.38,2023-07-19,Sale,False,
121486,842484,3944.33,2022-11-22,Sale,False,
287624,381215,2334.16,2022-03-27,Sale,False,
241903,484832,1527.38,2022-08-10,Sale,False,
51253,157683,144.09,2022-12-22,Sale,True,167905.0
