WishlistID,CustomerID,ProductID,DateAdded
404600,217197,876,2022-06-30
578678,627454,6612,2022-12-10
797464,194948,8784,2022-11-18
363705,901856,8188,2022-05-14
994160,369762,5881,2022-11-05
858883,771225,1043,2023-07-20
499940,100517,7747,2022-08-25
606510,348421,8854,2023-08-28
814991,781262,5962,2023-07-12
108129,378931,158,2022-03-02
950561,79387,8862,2022-12-11
313681,713058,1089,2022-01-02
832995,590353,2523,2023-04-23
912676,260921,5188,2023-07-27
99281,582655,9832,2023-07-03
566448,100134,2508,2023-03-26
316333,490080,7635,2022-02-24
765619,627220,2512,2023-05-31
946394,165565,5806,2023-10-17
244031,379579,4339,2023-01-19
704222,834608,6520,2022-09-07
402126,452101,5963,2022-04-09
640550,447907,584,2022-03-04
171149,366210,5564,2023-07-15
820240,633530,3797,2023-06-08
886125,265525,4766,2022-04-23
513863,552890,8044,2023-08-21
971158,695952,5549,2023-05-24
364162,43575,1887,2022-02-24
944664,936618,617,2022-06-08
75325,225486,3952,2023-03-10
547692,58792,9415,2022-07-30
61717,967906,7550,2023-04-16
887300,359785,6986,2023-03-31
228175,505133,3030,2022-09-27
747822,584624,5475,2022-03-17
15433,43511,6749,2022-12-18
858030,256193,3952,2022-12-26
780278,349584,5337,2023-06-20
784012,756354,8044,2022-04-20
331209,380081,4766,2022-07-19
324692,380862,5531,2023-01-13
45330,506740,1308,2022-09-05
884379,289449,8076,2022-02-26
401024,327821,3966,2023-08-08
496890,469114,1893,2023-02-22
748293,474318,2614,2022-08-19
369512,623125,7883,2022-03-13
218183,232343,1530,2023-10-30
577486,767076,4518,2022-12-17
193128,340649,3797,2022-12-28
596680,318791,5382,2023-05-09
13629,216792,6446,2022-11-06
713020,133434,5963,2023-03-25
396689,335783,2059,2023-03-07
597457,942012,584,2023-03-01
611259,396426,98,2023-04-03
882157,609338,1089,2022-11-08
528271,122198,4313,2021-11-23
459954,421768,5998,2022-01-08
124859,47641,1161,2023-05-04
328976,383076,2059,2022-01-18
347592,512156,6290,2023-09-25
639002,430730,1871,2022-09-10
30408,958720,5726,2022-02-06
654279,636401,5998,2022-12-23
108599,648290,5157,2023-07-03
54062,166091,835,2022-06-01
932553,901707,7866,2023-03-15
239519,121254,6770,2022-06-01
383253,283081,4969,2023-02-04
222485,100752,4438,2023-02-18
688760,738374,5619,2022-05-05
23490,832510,3687,2022-04-26
742544,164211,8101,2022-08-13
811981,431702,9410,2023-03-09
759920,656477,7569,2023-10-31
940767,574586,2456,2023-02-19
970730,901224,6749,2021-12-28
200546,284106,5274,2022-11-11
329807,156567,3966,2023-08-19
972930,923475,3449,2022-07-18
159791,150195,2489,2023-06-06
28234,502516,5998,2023-10-08
333417,589277,7177,2023-07-23
398911,220962,1095,2023-03-21
340056,948757,6770,2022-10-12
119055,724500,8854,2023-06-25
821760,101271,8040,2022-11-27
997898,610269,5967,2022-02-27
895367,817820,6963,2023-01-11
172111,615768,1871,2022-01-01
799865,587011,1308,2022-04-16
470672,270105,1871,2023-07-16
577521,21836,5026,2022-08-11
408384,723726,4131,2022-09-30
606726,740631,6766,2023-08-07
293349,281779,1512,2023-05-28
5432,835024,158,2022-11-29
451144,966822,8784,2022-08-05
255221,653853,5239,2022-10-08
357579,11236,4337,2023-07-28
807894,627302,8456,2022-09-25
155331,703191,9407,2023-08-22
603256,92495,5188,2022-08-18
535516,277931,2994,2022-12-11
755589,874213,4307,2023-06-21
185246,805414,8076,2023-04-28
755693,75597,7866,2023-10-13
638813,162559,6832,2021-12-02
13879,403906,5759,2022-02-20
449037,675657,4131,2023-02-04
821028,453531,6766,2022-11-04
260608,460338,2107,2023-04-12
439667,674390,1869,2021-11-29
361593,698786,2323,2021-11-18
966354,25747,8769,2022-01-18
818866,844603,4438,2022-09-10
852599,154885,8044,2023-01-31
168160,386497,5806,2022-06-12
585293,279319,5382,2023-06-18
366175,678959,2508,2022-09-01
958075,987247,835,2022-09-14
135702,985873,5564,2022-07-23
332253,203545,5157,2022-08-21
842298,751792,5141,2022-04-24
985516,466294,6832,2022-03-11
308264,910963,2427,2022-07-22
387017,22126,1219,2023-02-04
797145,65965,2994,2023-07-10
632204,983308,4438,2023-10-06
914317,343675,6070,2022-04-27
228770,174522,7022,2023-09-23
601648,294643,7866,2022-12-06
623834,759880,174,2023-06-02
