ShipmentID,OrderID,OrderDate,ShippedDate,DeliveryDate,ReturnDate,EstimatedDelivery,Carrier,TrackingNumber
45467,128168,2021-12-29,2021-12-30,2022-01-07,,2022-01-05,FedEx,wAE668229592
99792,671983,2023-06-26,2023-06-28,2023-06-29,,2023-07-12,FedEx,Dxm727056346
80104,476992,2022-11-22,2022-11-25,2022-12-02,,2022-11-28,UPS,Dzh768900114
29272,581208,2022-08-22,2022-08-25,2022-09-04,,2022-08-27,UPS,Sph494416106
84129,44701,2022-11-21,2022-11-24,2022-12-01,,2022-11-29,Royal Mail,OVk340327981
94036,941142,2022-12-13,2022-12-16,2022-12-22,,2022-12-29,UPS,NSK427861869
66044,604109,2022-01-02,2022-01-03,2022-01-06,,2022-01-17,UPS,QTF947299585
95451,803003,2022-10-20,2022-10-22,2022-10-31,,2022-10-31,UPS,dtU539765148
14332,131584,2023-10-18,2023-10-20,2023-10-29,,2023-11-03,DHL,bdd346494870
89135,845723,2022-06-10,2022-06-13,2022-06-23,,2022-06-14,Royal Mail,kEu967320777
22983,644135,2023-04-18,2023-04-21,2023-04-22,,2023-05-01,Royal Mail,ref865024925
65756,850273,2022-04-19,2022-04-20,2022-04-21,,2022-04-24,USPS,QwV474633734
81812,722304,2023-04-04,2023-04-06,2023-04-16,,2023-04-17,DHL,QEx949548876
80407,214940,2022-08-22,2022-08-24,2022-08-26,,2022-09-05,UPS,XbC871159045
41740,996646,2022-06-12,2022-06-13,2022-06-25,,2022-06-15,Royal Mail,ewo005948735
61909,653457,2022-09-04,2022-09-05,2022-09-14,,2022-09-11,Royal Mail,zKz001736752
56074,317032,2021-11-26,2021-11-27,2021-11-30,,2021-11-29,UPS,Urj844738198
11527,876092,2022-06-06,2022-06-07,2022-06-11,,2022-06-17,UPS,JrH875888271
96118,597556,2023-02-05,2023-02-07,2023-02-18,,2023-02-10,FedEx,COr689116468
44176,591059,2022-12-29,2023-01-01,2023-01-10,,2023-01-14,FedEx,zcw417505090
64440,282876,2022-06-01,2022-06-04,2022-06-15,,2022-06-06,USPS,ZsH891588089
40774,261032,2022-09-22,2022-09-24,2022-10-04,,2022-10-05,FedEx,LaR274993571
82681,181530,2022-03-26,2022-03-28,2022-04-06,,2022-04-02,FedEx,STD702730569
59363,821211,2022-03-27,2022-03-30,2022-04-06,,2022-04-11,UPS,Efd615572721
14565,591799,2022-12-27,2022-12-29,2023-01-02,,2023-01-07,Royal Mail,DTp080545586
34180,957996,2022-01-01,2022-01-04,2022-01-13,,2022-01-08,USPS,tLY770329685
72850,388198,2023-02-24,2023-02-26,2023-02-26,,2023-03-07,UPS,kDB825384612
99410,234062,2022-06-08,2022-06-09,2022-06-22,,2022-06-11,DHL,Vap159682908
3518,944993,2022-08-27,2022-08-30,2022-09-01,,2022-09-04,Royal Mail,sSq616013681
25646,550965,2022-09-26,2022-09-29,2022-10-08,,2022-10-05,USPS,NHz880289671
63832,666982,2023-02-03,2023-02-04,2023-02-16,,2023-02-12,USPS,tZh021503674
31588,399001,2022-10-05,2022-10-08,2022-10-16,,2022-10-14,FedEx,MTf045592172
59811,94343,2022-01-05,2022-01-06,2022-01-15,,2022-01-17,FedEx,DKk230277687
24377,261707,2023-05-27,2023-05-28,2023-06-01,,2023-05-31,FedEx,hUR419608317
40143,138482,2022-02-05,2022-02-06,2022-02-16,,2022-02-14,DHL,qOX195798103
37494,889750,2023-01-29,2023-01-30,2023-01-31,,2023-02-09,Royal Mail,sbn512960220
52235,809104,2023-11-24,2023-11-26,,,2023-11-29,UPS,nFz240921686
45973,799649,2023-06-24,2023-06-25,2023-06-27,,2023-06-30,UPS,qMk177321871
51165,328405,2023-03-07,2023-03-08,2023-03-19,,2023-03-20,UPS,Ees540860149
43244,438751,2021-12-04,2021-12-06,2021-12-14,,2021-12-18,Royal Mail,Eyh473414868
82792,447053,2022-07-31,2022-08-02,2022-08-07,,2022-08-07,DHL,cxy964372956
24528,369166,2022-02-06,2022-02-07,2022-02-15,,2022-02-10,FedEx,Ckq718247503
65899,509721,2023-11-23,2023-11-24,,,2023-12-05,Royal Mail,cAh194659324
1823,978591,2023-09-24,2023-09-27,2023-09-26,,2023-10-10,DHL,jxS312110478
81782,649786,2023-05-20,2023-05-21,2023-06-01,,2023-05-23,UPS,ViA444434664
96153,841126,2021-11-21,2021-11-22,2021-12-04,,2021-12-02,FedEx,TLm980912332
27923,608052,2023-07-09,2023-07-12,2023-07-21,,2023-07-26,Royal Mail,ERA843338347
34127,365412,2023-07-17,2023-07-18,2023-07-24,,2023-07-28,USPS,RXo818600811
6804,764805,2022-05-10,2022-05-13,2022-05-12,,2022-05-22,UPS,BJY957647903
15402,934468,2023-04-22,2023-04-23,2023-05-06,,2023-04-25,UPS,XyE360330429
24220,499766,2022-12-01,2022-12-03,2022-12-15,,2022-12-12,FedEx,dho745579282
49060,862163,2023-07-18,2023-07-19,2023-07-30,,2023-07-29,FedEx,dbq599035398
27221,227576,2023-11-07,2023-11-09,2023-11-21,,2023-11-13,DHL,yte418830041
20550,498614,2022-01-21,2022-01-24,2022-02-03,,2022-02-04,USPS,XnC647758741
41765,61320,2022-01-05,2022-01-08,2022-01-13,,2022-01-10,DHL,JzI864463592
96753,517849,2023-01-09,2023-01-10,2023-01-16,,2023-01-20,USPS,iCu747441130
48809,183942,2022-09-18,2022-09-21,2022-09-24,,2022-09-23,FedEx,tre823471912
74344,720634,2022-01-27,2022-01-30,2022-02-02,,2022-02-13,Royal Mail,kyK166823441
88255,413607,2023-09-11,2023-09-12,2023-09-16,,2023-09-20,USPS,Ldb139249613
48115,149941,2022-04-19,2022-04-21,2022-04-21,,2022-04-29,DHL,UZh227529847
68462,593974,2022-06-09,2022-06-10,2022-06-12,,2022-06-13,USPS,Qnc940707172
33362,227159,2022-05-01,2022-05-02,2022-05-03,,2022-05-14,USPS,rpq458037812
44192,855908,2022-04-05,2022-04-08,2022-04-17,,2022-04-17,DHL,Jsi150675062
34087,487126,2022-11-26,2022-11-27,2022-11-30,,2022-12-07,USPS,bdX691230574
59746,967810,2023-02-04,2023-02-05,2023-02-07,,2023-02-09,DHL,RJZ665557435
68759,407560,2023-08-02,2023-08-04,2023-08-14,,2023-08-17,Royal Mail,vKp938163594
88593,366638,2023-09-04,2023-09-05,2023-09-17,,2023-09-10,USPS,zEz138039055
89523,540545,2021-12-09,2021-12-10,2021-12-14,,2021-12-19,USPS,LpW558437057
6243,210346,2022-08-23,2022-08-25,2022-09-05,,2022-09-08,DHL,piP089540872
58210,418781,2023-08-24,2023-08-27,2023-08-28,,2023-09-04,UPS,BeH759362982
5088,321421,2023-06-21,2023-06-22,2023-07-05,,2023-07-04,DHL,bdx786864158
6501,230546,2022-08-29,2022-09-01,2022-09-06,,2022-09-03,USPS,Yne184004463
